Gene Symbol,Description,Category,Gifts,GC Id,Relevance score, GeneCards Link
KLRC1,Killer Cell Lectin Like Receptor C1,Protein Coding,48,GC12M023377,0.607272804,https://www.genecards.org/cgi-bin/carddisp.pl?gene=KLRC1
KLRD1,Killer Cell Lectin Like Receptor D1,Protein Coding,48,GC12P010226,0.607272804,https://www.genecards.org/cgi-bin/carddisp.pl?gene=KLRD1
KSR1,Kinase Suppressor Of Ras 1,Protein Coding,48,GC17P027456,0.607272804,https://www.genecards.org/cgi-bin/carddisp.pl?gene=KSR1
LGR6,Leucine Rich Repeat Containing G Protein-Coupled Receptor 6,Protein Coding,48,GC01P202193,0.607272804,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LGR6
MAFA,MAF BZIP Transcription Factor A,Protein Coding,48,GC08M143419,0.607272804,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAFA
NDN,"Necdin, MAGE Family Member",Protein Coding,48,GC15M024868,0.607272804,https://www.genecards.org/cgi-bin/carddisp.pl?gene=NDN
NFYC,Nuclear Transcription Factor Y Subunit Gamma,Protein Coding,48,GC01P040691,0.607272804,https://www.genecards.org/cgi-bin/carddisp.pl?gene=NFYC
POLD2,"DNA Polymerase Delta 2, Accessory Subunit",Protein Coding,48,GC07M044114,0.607272804,https://www.genecards.org/cgi-bin/carddisp.pl?gene=POLD2
PRG4,Proteoglycan 4,Protein Coding,48,GC01P186296,0.607272804,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRG4
PSME1,Proteasome Activator Subunit 1,Protein Coding,48,GC14P024136,0.607272804,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PSME1
PSME2,Proteasome Activator Subunit 2,Protein Coding,48,GC14M024143,0.607272804,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PSME2
PTN,Pleiotrophin,Protein Coding,48,GC07M137227,0.607272804,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTN
PUM1,Pumilio RNA Binding Family Member 1,Protein Coding,48,GC01M030931,0.607272804,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PUM1
RAD17,RAD17 Checkpoint Clamp Loader Component,Protein Coding,48,GC05P069369,0.607272804,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RAD17
RANGAP1,Ran GTPase Activating Protein 1,Protein Coding,48,GC22M041244,0.607272804,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RANGAP1
RPL8,Ribosomal Protein L8,Protein Coding,48,GC08M145833,0.607272804,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPL8
RPLP0,Ribosomal Protein Lateral Stalk Subunit P0,Protein Coding,48,GC12M120196,0.607272804,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPLP0
RPS2,Ribosomal Protein S2,Protein Coding,48,GC16M008584,0.607272804,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPS2
SNRNP200,Small Nuclear Ribonucleoprotein U5 Subunit 200,Protein Coding,48,GC02M099043,0.607272804,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SNRNP200
TAC1,Tachykinin Precursor 1,Protein Coding,48,GC07P097731,0.607272804,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TAC1
TNPO1,Transportin 1,Protein Coding,48,GC05P072816,0.607272804,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TNPO1
TRDMT1,TRNA Aspartic Acid Methyltransferase 1,Protein Coding,48,GC10M017138,0.607272804,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TRDMT1
USP11,Ubiquitin Specific Peptidase 11,Protein Coding,48,GC0XP047232,0.607272804,https://www.genecards.org/cgi-bin/carddisp.pl?gene=USP11
CAPZB,Capping Actin Protein Of Muscle Z-Line Subunit Beta,Protein Coding,47,GC01M019339,0.607272804,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CAPZB
CCT3,Chaperonin Containing TCP1 Subunit 3,Protein Coding,47,GC01M156308,0.607272804,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCT3
CCT4,Chaperonin Containing TCP1 Subunit 4,Protein Coding,47,GC02M061868,0.607272804,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCT4
CCT6A,Chaperonin Containing TCP1 Subunit 6A,Protein Coding,47,GC07P056051,0.607272804,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCT6A
CCT8,Chaperonin Containing TCP1 Subunit 8,Protein Coding,47,GC21M029055,0.607272804,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCT8
CLIP2,CAP-Gly Domain Containing Linker Protein 2,Protein Coding,47,GC07P074289,0.607272804,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CLIP2
COL13A1,Collagen Type XIII Alpha 1 Chain,Protein Coding,47,GC10P069801,0.607272804,https://www.genecards.org/cgi-bin/carddisp.pl?gene=COL13A1
GTF2I,General Transcription Factor IIi,Protein Coding,47,GC07P077728,0.607272804,https://www.genecards.org/cgi-bin/carddisp.pl?gene=GTF2I
HMGN1,High Mobility Group Nucleosome Binding Domain 1,Protein Coding,47,GC21M039342,0.607272804,https://www.genecards.org/cgi-bin/carddisp.pl?gene=HMGN1
IAPP,Islet Amyloid Polypeptide,Protein Coding,47,GC12P021354,0.607272804,https://www.genecards.org/cgi-bin/carddisp.pl?gene=IAPP
IGF2BP1,Insulin Like Growth Factor 2 MRNA Binding Protein 1,Protein Coding,47,GC17P067177,0.607272804,https://www.genecards.org/cgi-bin/carddisp.pl?gene=IGF2BP1
IRX5,Iroquois Homeobox 5,Protein Coding,47,GC16P054930,0.607272804,https://www.genecards.org/cgi-bin/carddisp.pl?gene=IRX5
KIF20A,Kinesin Family Member 20A,Protein Coding,47,GC05P138189,0.607272804,https://www.genecards.org/cgi-bin/carddisp.pl?gene=KIF20A
MANF,Mesencephalic Astrocyte Derived Neurotrophic Factor,Protein Coding,47,GC03P051385,0.607272804,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MANF
MRTFA,Myocardin Related Transcription Factor A,Protein Coding,47,GC22M064561,0.607272804,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MRTFA
MTDH,Metadherin,Protein Coding,47,GC08P097643,0.607272804,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MTDH
NEUROG3,Neurogenin 3,Protein Coding,47,GC10M069571,0.607272804,https://www.genecards.org/cgi-bin/carddisp.pl?gene=NEUROG3
POLR3K,RNA Polymerase III Subunit K,Protein Coding,47,GC16M000046,0.607272804,https://www.genecards.org/cgi-bin/carddisp.pl?gene=POLR3K
PPP1R13L,Protein Phosphatase 1 Regulatory Subunit 13 Like,Protein Coding,47,GC19M045379,0.607272804,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PPP1R13L
PRG2,"Proteoglycan 2, Pro Eosinophil Major Basic Protein",Protein Coding,47,GC11M057386,0.607272804,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRG2
RBP1,Retinol Binding Protein 1,Protein Coding,47,GC03M139517,0.607272804,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RBP1
RPS16,Ribosomal Protein S16,Protein Coding,47,GC19M039433,0.607272804,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPS16
RPS3A,Ribosomal Protein S3A,Protein Coding,47,GC04P151099,0.607272804,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPS3A
SLC23A1,Solute Carrier Family 23 Member 1,Protein Coding,47,GC05M139377,0.607272804,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC23A1
SRSF2,Serine And Arginine Rich Splicing Factor 2,Protein Coding,47,GC17M076734,0.607272804,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SRSF2
SRSF6,Serine And Arginine Rich Splicing Factor 6,Protein Coding,47,GC20P043457,0.607272804,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SRSF6
SSRP1,Structure Specific Recognition Protein 1,Protein Coding,47,GC11M102231,0.607272804,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SSRP1
SUN2,Sad1 And UNC84 Domain Containing 2,Protein Coding,47,GC22M063719,0.607272804,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SUN2
TRA2B,Transformer 2 Beta Homolog,Protein Coding,47,GC03M185914,0.607272804,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TRA2B
TRIP13,Thyroid Hormone Receptor Interactor 13,Protein Coding,47,GC05P000892,0.607272804,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TRIP13
TSC22D1,TSC22 Domain Family Member 1,Protein Coding,47,GC13M044432,0.607272804,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TSC22D1
WDR77,WD Repeat Domain 77,Protein Coding,47,GC01M111439,0.607272804,https://www.genecards.org/cgi-bin/carddisp.pl?gene=WDR77
AKAP8,A-Kinase Anchoring Protein 8,Protein Coding,46,GC19M015354,0.607272804,https://www.genecards.org/cgi-bin/carddisp.pl?gene=AKAP8
CORO1C,Coronin 1C,Protein Coding,46,GC12M108645,0.607272804,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CORO1C
CSDE1,Cold Shock Domain Containing E1,Protein Coding,46,GC01M114716,0.607272804,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CSDE1
EIF5B,Eukaryotic Translation Initiation Factor 5B,Protein Coding,46,GC02P099320,0.607272804,https://www.genecards.org/cgi-bin/carddisp.pl?gene=EIF5B
IFIT3,Interferon Induced Protein With Tetratricopeptide Repeats 3,Protein Coding,46,GC10P089327,0.607272804,https://www.genecards.org/cgi-bin/carddisp.pl?gene=IFIT3
MNDA,Myeloid Cell Nuclear Differentiation Antigen,Protein Coding,46,GC01P158801,0.607272804,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MNDA
PCMT1,Protein-L-Isoaspartate (D-Aspartate) O-Methyltransferase,Protein Coding,46,GC06P149749,0.607272804,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PCMT1
PINX1,PIN2 (TERF1) Interacting Telomerase Inhibitor 1,Protein Coding,46,GC08M010764,0.607272804,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PINX1
RNF34,Ring Finger Protein 34,Protein Coding,46,GC12P121400,0.607272804,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RNF34
RPLP1,Ribosomal Protein Lateral Stalk Subunit P1,Protein Coding,46,GC15P126494,0.607272804,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPLP1
SAP30,Sin3A Associated Protein 30,Protein Coding,46,GC04P173369,0.607272804,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SAP30
SUPT16H,"SPT16 Homolog, Facilitates Chromatin Remodeling Subunit",Protein Coding,46,GC14M021351,0.607272804,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SUPT16H
SUPT5H,"SPT5 Homolog, DSIF Elongation Factor Subunit",Protein Coding,46,GC19P039436,0.607272804,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SUPT5H
TET1,Tet Methylcytosine Dioxygenase 1,Protein Coding,46,GC10P068560,0.607272804,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TET1
TOX,Thymocyte Selection Associated High Mobility Group Box,Protein Coding,46,GC08M058805,0.607272804,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TOX
VPS26A,VPS26 Retromer Complex Component A,Protein Coding,46,GC10P069123,0.607272804,https://www.genecards.org/cgi-bin/carddisp.pl?gene=VPS26A
ARID4A,AT-Rich Interaction Domain 4A,Protein Coding,45,GC14P058298,0.607272804,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ARID4A
DSPP,Dentin Sialophosphoprotein,Protein Coding,45,GC04P087608,0.607272804,https://www.genecards.org/cgi-bin/carddisp.pl?gene=DSPP
FKBP3,FKBP Prolyl Isomerase 3,Protein Coding,45,GC14M045115,0.607272804,https://www.genecards.org/cgi-bin/carddisp.pl?gene=FKBP3
NACA,Nascent Polypeptide Associated Complex Subunit Alpha,Protein Coding,45,GC12M056712,0.607272804,https://www.genecards.org/cgi-bin/carddisp.pl?gene=NACA
NOP2,NOP2 Nucleolar Protein,Protein Coding,45,GC12M006556,0.607272804,https://www.genecards.org/cgi-bin/carddisp.pl?gene=NOP2
PATZ1,POZ/BTB And AT Hook Containing Zinc Finger 1,Protein Coding,45,GC22M031325,0.607272804,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PATZ1
PREB,Prolactin Regulatory Element Binding,Protein Coding,45,GC02M027130,0.607272804,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PREB
RPS4X,Ribosomal Protein S4 X-Linked,Protein Coding,45,GC0XM072255,0.607272804,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPS4X
RRBP1,Ribosome Binding Protein 1,Protein Coding,45,GC20M017613,0.607272804,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RRBP1
SUN1,Sad1 And UNC84 Domain Containing 1,Protein Coding,45,GC07P000815,0.607272804,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SUN1
ALYREF,Aly/REF Export Factor,Protein Coding,44,GC17M081887,0.607272804,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ALYREF
BASP1,Brain Abundant Membrane Attached Signal Protein 1,Protein Coding,44,GC05P017065,0.607272804,https://www.genecards.org/cgi-bin/carddisp.pl?gene=BASP1
BFSP1,Beaded Filament Structural Protein 1,Protein Coding,44,GC20M017493,0.607272804,https://www.genecards.org/cgi-bin/carddisp.pl?gene=BFSP1
DUSP12,Dual Specificity Phosphatase 12,Protein Coding,44,GC01P161749,0.607272804,https://www.genecards.org/cgi-bin/carddisp.pl?gene=DUSP12
EIF3J,Eukaryotic Translation Initiation Factor 3 Subunit J,Protein Coding,44,GC15P044537,0.607272804,https://www.genecards.org/cgi-bin/carddisp.pl?gene=EIF3J
GOLGA4,Golgin A4,Protein Coding,44,GC03P037243,0.607272804,https://www.genecards.org/cgi-bin/carddisp.pl?gene=GOLGA4
ILF2,Interleukin Enhancer Binding Factor 2,Protein Coding,44,GC01M153661,0.607272804,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ILF2
MT1X,Metallothionein 1X,Protein Coding,44,GC16P057180,0.607272804,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MT1X
ARHGAP18,Rho GTPase Activating Protein 18,Protein Coding,43,GC06M129576,0.607272804,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ARHGAP18
ARID4B,AT-Rich Interaction Domain 4B,Protein Coding,43,GC01M235133,0.607272804,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ARID4B
CCDC47,Coiled-Coil Domain Containing 47,Protein Coding,43,GC17M063745,0.607272804,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCDC47
CEBPG,CCAAT Enhancer Binding Protein Gamma,Protein Coding,43,GC19P033373,0.607272804,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CEBPG
CHORDC1,Cysteine And Histidine Rich Domain Containing 1,Protein Coding,43,GC11M090200,0.607272804,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CHORDC1
DNAJC1,DnaJ Heat Shock Protein Family (Hsp40) Member C1,Protein Coding,43,GC10M021762,0.607272804,https://www.genecards.org/cgi-bin/carddisp.pl?gene=DNAJC1
LSM14A,LSM14A MRNA Processing Body Assembly Factor,Protein Coding,43,GC19P034172,0.607272804,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LSM14A
MIA,MIA SH3 Domain Containing,Protein Coding,43,GC19P040771,0.607272804,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIA
PATJ,PATJ Crumbs Cell Polarity Complex Component,Protein Coding,43,GC01P061743,0.607272804,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PATJ
PHF10,PHD Finger Protein 10,Protein Coding,43,GC06M169679,0.607272804,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PHF10
RBM25,RNA Binding Motif Protein 25,Protein Coding,43,GC14P073058,0.607272804,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RBM25
XPO6,Exportin 6,Protein Coding,43,GC16M028097,0.607272804,https://www.genecards.org/cgi-bin/carddisp.pl?gene=XPO6
ABT1,Activator Of Basal Transcription 1,Protein Coding,42,GC06P095909,0.607272804,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABT1
DTD1,D-Aminoacyl-TRNA Deacylase 1,Protein Coding,42,GC20P018587,0.607272804,https://www.genecards.org/cgi-bin/carddisp.pl?gene=DTD1
GOLGB1,Golgin B1,Protein Coding,42,GC03M121663,0.607272804,https://www.genecards.org/cgi-bin/carddisp.pl?gene=GOLGB1
HERC3,HECT And RLD Domain Containing E3 Ubiquitin Protein Ligase 3,Protein Coding,42,GC04P088568,0.607272804,https://www.genecards.org/cgi-bin/carddisp.pl?gene=HERC3
HP1BP3,Heterochromatin Protein 1 Binding Protein 3,Protein Coding,42,GC01M020742,0.607272804,https://www.genecards.org/cgi-bin/carddisp.pl?gene=HP1BP3
NUCKS1,Nuclear Casein Kinase And Cyclin Dependent Kinase Substrate 1,Protein Coding,42,GC01M205712,0.607272804,https://www.genecards.org/cgi-bin/carddisp.pl?gene=NUCKS1
NUTF2,Nuclear Transport Factor 2,Protein Coding,42,GC16P067846,0.607272804,https://www.genecards.org/cgi-bin/carddisp.pl?gene=NUTF2
PYHIN1,Pyrin And HIN Domain Family Member 1,Protein Coding,42,GC01P158900,0.607272804,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PYHIN1
RIDA,Reactive Intermediate Imine Deaminase A Homolog,Protein Coding,42,GC08M098103,0.607272804,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RIDA
RSF1,Remodeling And Spacing Factor 1,Protein Coding,42,GC11M103147,0.607272804,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RSF1
SLC22A17,Solute Carrier Family 22 Member 17,Protein Coding,42,GC14M023346,0.607272804,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC22A17
VGLL4,Vestigial Like Family Member 4,Protein Coding,42,GC03M011856,0.607272804,https://www.genecards.org/cgi-bin/carddisp.pl?gene=VGLL4
HMGN3,High Mobility Group Nucleosomal Binding Domain 3,Protein Coding,41,GC06M079201,0.607272804,https://www.genecards.org/cgi-bin/carddisp.pl?gene=HMGN3
JPT1,Jupiter Microtubule Associated Homolog 1,Protein Coding,41,GC17M075136,0.607272804,https://www.genecards.org/cgi-bin/carddisp.pl?gene=JPT1
MTPN,Myotrophin,Protein Coding,41,GC07M135926,0.607272804,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MTPN
RABL6,"RAB, Member RAS Oncogene Family Like 6",Protein Coding,41,GC09P136807,0.607272804,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RABL6
FBXO22,F-Box Protein 22,Protein Coding,40,GC15P075903,0.607272804,https://www.genecards.org/cgi-bin/carddisp.pl?gene=FBXO22
HTRA4,HtrA Serine Peptidase 4,Protein Coding,40,GC08P038976,0.607272804,https://www.genecards.org/cgi-bin/carddisp.pl?gene=HTRA4
NEUROD6,Neuronal Differentiation 6,Protein Coding,40,GC07M031343,0.607272804,https://www.genecards.org/cgi-bin/carddisp.pl?gene=NEUROD6
AKAP17A,A-Kinase Anchoring Protein 17A,Protein Coding,39,GC0XP001591,0.607272804,https://www.genecards.org/cgi-bin/carddisp.pl?gene=AKAP17A
CFAP44,Cilia And Flagella Associated Protein 44,Protein Coding,39,GC03M113286,0.607272804,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CFAP44
FUNDC1,FUN14 Domain Containing 1,Protein Coding,39,GC0XM044523,0.607272804,https://www.genecards.org/cgi-bin/carddisp.pl?gene=FUNDC1
PYM1,"PYM Homolog 1, Exon Junction Complex Associated Factor",Protein Coding,39,GC12M055902,0.607272804,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PYM1
STYXL2,Serine/Threonine/Tyrosine Interacting Like 2,Protein Coding,38,GC01P167095,0.607272804,https://www.genecards.org/cgi-bin/carddisp.pl?gene=STYXL2
TMEM263,Transmembrane Protein 263,Protein Coding,38,GC12P106955,0.607272804,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TMEM263
TIGD1,Tigger Transposable Element Derived 1,Protein Coding,37,GC02M232547,0.607272804,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TIGD1
TMSB15A,Thymosin Beta 15A,Protein Coding,35,GC0XM102515,0.607272804,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TMSB15A
TMA7,Translation Machinery Associated 7 Homolog,Protein Coding,32,GC03P048440,0.607272804,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TMA7
TUG1,Taurine Up-Regulated 1,Protein Coding,26,GC22P030969,0.607272804,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TUG1
MIR26B,MicroRNA 26b,RNA Gene,25,GC02P218402,0.607272804,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR26B
MIR182,MicroRNA 182,RNA Gene,24,GC07M129770,0.607272804,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR182
MIR34C,MicroRNA 34c,RNA Gene,24,GC11P112029,0.607272804,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR34C
MIR29B1,MicroRNA 29b-1,RNA Gene,23,GC07M130877,0.607272804,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR29B1
MIR34B,MicroRNA 34b,RNA Gene,23,GC11P112022,0.607272804,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR34B
MIR19A,MicroRNA 19a,RNA Gene,22,GC13P091594,0.607272804,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR19A
MIR25,MicroRNA 25,RNA Gene,22,GC07M100093,0.607272804,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR25
MIRLET7G,MicroRNA Let-7g,RNA Gene,22,GC03M052268,0.607272804,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIRLET7G
MIR137,MicroRNA 137,RNA Gene,21,GC01M098046,0.607272804,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR137
MIR18A,MicroRNA 18a,RNA Gene,21,GC13P091598,0.607272804,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR18A
MIR29B2,MicroRNA 29b-2,RNA Gene,21,GC01M207815,0.607272804,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR29B2
MIR30D,MicroRNA 30d,RNA Gene,21,GC08M134804,0.607272804,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR30D
MIR520C,MicroRNA 520c,RNA Gene,20,GC19P076805,0.607272804,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR520C
NORAD,Non-Coding RNA Activated By DNA Damage,RNA Gene,20,GC20M036322,0.607272804,https://www.genecards.org/cgi-bin/carddisp.pl?gene=NORAD
MIR371A,MicroRNA 371a,RNA Gene,18,GC19P053787,0.607272804,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR371A
MIR1299,MicroRNA 1299,RNA Gene,15,GC09M040929,0.607272804,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR1299
FGFR3,Fibroblast Growth Factor Receptor 3,Protein Coding,63,GC04P001795,0.433908463,https://www.genecards.org/cgi-bin/carddisp.pl?gene=FGFR3
AKT2,AKT Serine/Threonine Kinase 2,Protein Coding,61,GC19M040230,0.433908463,https://www.genecards.org/cgi-bin/carddisp.pl?gene=AKT2
MAP2K2,Mitogen-Activated Protein Kinase Kinase 2,Protein Coding,61,GC19M004090,0.433908463,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAP2K2
BTK,Bruton Tyrosine Kinase,Protein Coding,60,GC0XM101349,0.433908463,https://www.genecards.org/cgi-bin/carddisp.pl?gene=BTK
ACE,Angiotensin I Converting Enzyme,Protein Coding,59,GC17P063477,0.433908463,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACE
AXL,AXL Receptor Tyrosine Kinase,Protein Coding,59,GC19P041219,0.433908463,https://www.genecards.org/cgi-bin/carddisp.pl?gene=AXL
CSF1R,Colony Stimulating Factor 1 Receptor,Protein Coding,59,GC05M150053,0.433908463,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CSF1R
EPHB2,EPH Receptor B2,Protein Coding,59,GC01P022710,0.433908463,https://www.genecards.org/cgi-bin/carddisp.pl?gene=EPHB2
FLT4,Fms Related Receptor Tyrosine Kinase 4,Protein Coding,59,GC05M181987,0.433908463,https://www.genecards.org/cgi-bin/carddisp.pl?gene=FLT4
ITGA2B,Integrin Subunit Alpha 2b,Protein Coding,59,GC17M054363,0.433908463,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ITGA2B
NOTCH2,Notch Receptor 2,Protein Coding,59,GC01M119911,0.433908463,https://www.genecards.org/cgi-bin/carddisp.pl?gene=NOTCH2
XIAP,X-Linked Inhibitor Of Apoptosis,Protein Coding,59,GC0XP123859,0.433908463,https://www.genecards.org/cgi-bin/carddisp.pl?gene=XIAP
CD19,CD19 Molecule,Protein Coding,58,GC16P043715,0.433908463,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD19
ELANE,"Elastase, Neutrophil Expressed",Protein Coding,58,GC19P004053,0.433908463,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ELANE
HSD11B1,Hydroxysteroid 11-Beta Dehydrogenase 1,Protein Coding,58,GC01P209686,0.433908463,https://www.genecards.org/cgi-bin/carddisp.pl?gene=HSD11B1
JAK3,Janus Kinase 3,Protein Coding,58,GC19M017824,0.433908463,https://www.genecards.org/cgi-bin/carddisp.pl?gene=JAK3
TFRC,Transferrin Receptor,Protein Coding,58,GC03M196090,0.433908463,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TFRC
APOA1,Apolipoprotein A1,Protein Coding,57,GC11M116835,0.433908463,https://www.genecards.org/cgi-bin/carddisp.pl?gene=APOA1
CAPN1,Calpain 1,Protein Coding,57,GC11P071390,0.433908463,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CAPN1
GRIN1,Glutamate Ionotropic Receptor NMDA Type Subunit 1,Protein Coding,57,GC09P137254,0.433908463,https://www.genecards.org/cgi-bin/carddisp.pl?gene=GRIN1
ICAM1,Intercellular Adhesion Molecule 1,Protein Coding,57,GC19P010870,0.433908463,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ICAM1
LEPR,Leptin Receptor,Protein Coding,57,GC01P065421,0.433908463,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LEPR
MME,Membrane Metalloendopeptidase,Protein Coding,57,GC03P155024,0.433908463,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MME
MYLK,Myosin Light Chain Kinase,Protein Coding,57,GC03M123610,0.433908463,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MYLK
PCSK9,Proprotein Convertase Subtilisin/Kexin Type 9,Protein Coding,57,GC01P055039,0.433908463,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PCSK9
PTPN1,Protein Tyrosine Phosphatase Non-Receptor Type 1,Protein Coding,57,GC20P050510,0.433908463,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTPN1
SHH,Sonic Hedgehog Signaling Molecule,Protein Coding,57,GC07M155799,0.433908463,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SHH
STIM1,Stromal Interaction Molecule 1,Protein Coding,57,GC11P003909,0.433908463,https://www.genecards.org/cgi-bin/carddisp.pl?gene=STIM1
TACR3,Tachykinin Receptor 3,Protein Coding,57,GC04M103586,0.433908463,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TACR3
TH,Tyrosine Hydroxylase,Protein Coding,57,GC11M002163,0.433908463,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TH
TRPC6,Transient Receptor Potential Cation Channel Subfamily C Member 6,Protein Coding,57,GC11M101451,0.433908463,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TRPC6
